Abaita - Kosher Dairy,Pizzeria,Foursquare,"145 E 49th St (3rd avenue & lexington), New York, NY 10017",
Kasbah Grill,Kosher Restaurant,Foursquare,"251 W 85th St (btwn Broadway & W End Ave), New York, NY 10024",
Kailash Parbat,Chinese Restaurant,Foursquare,"99 Lexington Ave (at 27th St), New York, NY 10016",
Mike's Bistro,American Restaurant,Foursquare,"127 E 54th St, New York, NY 10022",
Noga,American Restaurant,Foursquare,"120 Allen St, New York, NY 10002",
Paprika Kosher Restaurant,Kosher Restaurant,Foursquare,"56 E 34th St, New York, NY 10016",
Jerusalem Cafe,Pizzeria,Foursquare,"7 W 36th St (Between 5th and 6th Avenues), New York, NY 10018",
La Brochette Steakhouse,Sushi Restaurant,Foursquare,"340 Lexington Ave (btwn E 39th & E 40th St), New York, NY 10016",
Basta,Italian Restaurant,Foursquare,"62 E 34th St (Park Ave), New York, NY 10016",
Pitopia,Fast Food Restaurant,Foursquare,"43 E 34th St, New York, NY 10016",
Bedford on Park,Wine Bar,Foursquare,"61 E 34th St (@ Park Ave), New York, NY 10016",
Jezreel Valley Catering,Kosher Restaurant,Foursquare,"41 W 36th St (6th Avenue), New York, NY 10018",
Spiced NYC,BBQ Joint,Foursquare,"511 9th Ave (W 39th St), New York, NY 10018",
Milk N Honey NYC,Bakery,Foursquare,"12 E 46th St (btw 5th Ave & 6th Ave), New York, NY 10036",
Taam Tov,Kosher Restaurant,Foursquare,"41 W 47th St (btwn 5th & 6th Ave.), New York, NY 10036",
Village Crown Kosher Catering,Kosher Restaurant,Foursquare,"216 E 49th St (3rd Ave), New York, NY 10017",
Kosher Catering NYC - Legendary Affairs,Kosher Restaurant,Foursquare,"575 Lexington Ave, New York, NY 10022",
Etrog,Kosher Restaurant,Foursquare,"122 E 58th St, New York, NY 10022",
Noi Due Carne,Kosher Restaurant,Foursquare,"141 W 69th St (btwn Columbus & Amsterdam Ave), New York, NY 10023",
Fischer Brothers & Leslie Kosher Meat & Poultry,Butcher,Foursquare,"230 W 72nd St (btwn Broadway & West End Ave.), New York, NY 10023",
Bravo,Pizzeria,Foursquare,"17 Trinity Pl (btwn Morris St. & Exchange Plaza), New York, NY 10006",
Carlos & Gabbys,Kosher Restaurant,Foursquare,"100 W 83rd St, New York, NY 10024",
New Amsterdam Burger A,Burger Joint,Foursquare,"680 Columbus Ave, New York, NY 10025",
Mocha Burger,Burger Joint,Foursquare,"496 Laguardia Pl (W Houston), New York, NY 10012",
Kosher Creations,Kosher Restaurant,Foursquare,"251 W 100th St, New York, NY 10025",
Eighteen,Sushi Restaurant,Foursquare,"240 E 81st St, New York, NY 10028",
Fins and Scales,Sushi Restaurant,Foursquare,"10 E 8th St, New York, NY 10003",
UN Plaza Grill,Sushi Restaurant,Foursquare,"845 United Nations Plz, New York, NY 10017",
Tempura NYC,Sushi Restaurant,Foursquare,"511 9th Ave, New York, NY 10018",
Holy Rollers Kosher Cart,Food Truck,Foursquare,"W 35TH St (8th ave), New York, NY 10036",
Jerusalem Cafe,Kosher Restaurant,Foursquare,"7 W 36th St, New York, NY 10018",
Sweet Dreams Cafe,Café,Foursquare,"100 Orchard St (Delancey), New York, NY 10002",
East Side Glatt,Kosher Restaurant,Foursquare,"500 Grand St (E Broadway), New York, NY 10002",
Taïm Falafel and Smoothie Bar,Mediterranean Restaurant,Foursquare,"222 Waverly Pl (btwn Perry & W 11th St), New York, NY 10014",
2nd Ave Deli,Deli,Foursquare,"162 E 33rd St (btw 3rd & Lexington Ave), New York, NY 10016",
Union Square Park,Playground,Foursquare,"Union Sq E/W & Broadway (btwn E 14th & E 17th St), New York, NY 10003",
West Side Wok,Lounge,Foursquare,"691 Amsterdam Ave (93rd and 94th), New York, NY 10025",
Russ & Daughters Cafe,Café,Foursquare,"127 Orchard St (btwn Rivington St & Delancey St), New York, NY 10002",
Katz's Deli,Deli,Foursquare,"205 E Houston St (at Ludlow St), New York, NY 10002",
Fairway Market,Grocery Store,Foursquare,"550 2nd Ave (at E 30th St), New York, NY 10016",
Russ & Daughters,Gourmet Store,Foursquare,"179 E Houston St (btwn Allen & Orchard St), New York, NY 10002",
Bluestone Lane Chelsea Piers Café,Café,Foursquare,"62 Chelsea Piers, New York, NY 10011",
Westerly Natural Market,Organic Grocery,Foursquare,"911 8th Ave (at 54th St), New York, NY 10019",
Susan Sez Say It With Cake,Bakery,Foursquare,"510 W 123rd St (btwn Amsterdam Ave & Broadway), New York, NY 10027",
Ess-A-Bagel,Bagel Shop,Foursquare,"831 3rd Ave (btwn 50th & 51st St.), New York, NY 10022",
Toloache,Tex-Mex Restaurant,Foursquare,"251 W 50th St (at 8th Ave), New York, NY 10019",
Bluestone Lane,Café,Foursquare,"11 Times Sq (8th ave), New York, NY 10036",
Bluestone Lane Midtown East Coffee Shop,Café,Foursquare,"400 Madison Ave, New York, NY 10017",
Hummus Place,Falafel Restaurant,Foursquare,"305 Amsterdam Ave (btwn 74th St. & 75th St.), New York, NY 10023",
Left Bank,New American Restaurant,Foursquare,"117 Perry St (at Greenwich St), New York, NY 10014",
Western Kosher,Butcher,Foursquare,"4817 W Pico Blvd, Los Angeles, CA 90019",
Jeff's Gourmet Sausage Factory,Kosher Restaurant,Foursquare,"8930 W Pico Blvd (at Livonia), Los Angeles, CA 90035",
Bibi's Bakery Cafe,Bakery,Foursquare,"8928 W Pico Blvd, Los Angeles, CA 90035",
Tel Aviv Glatt Kosher Grill,Falafel Restaurant,Foursquare,"17201 Ventura Blvd, Encino, CA 91316",
