Van Leeuwen Ice Cream,Ice Cream Parlor,Foursquare,"48 1/2 E 7th St (at 2nd Ave), New York, NY 10003",
Peacefood Café,Vegan and Vegetarian Restaurant,Foursquare,"41 E 11th St (at University Pl), New York, NY 10003",
Van Leeuwen Ice Cream,Ice Cream Parlor,Foursquare,"152 W 10th St (at Waverly Pl), New York, NY 10014",
Red Bamboo,Chinese Restaurant,Foursquare,"140 W 4th St (btwn 6th Ave & MacDougal St), New York, NY 10012",
Peacefood Cafe,Café,Foursquare,"460 Amsterdam Ave (82nd St), New York, NY 10024",
P.S. Kitchen,Bar,Foursquare,"246 W 48th St (btwn Broadway & 8th Ave), New York, NY 10036",
Beyond Sushi,Vegan and Vegetarian Restaurant,Foursquare,"62 W 56th St (6th Avenue), New York, NY 10019",
Sweetgreen,Salad Restaurant,Foursquare,"8 E 18th St, New York, NY 10003",
Union Square Greenmarket,Farmers Market,Foursquare,"E 17TH St (btwn E 14th & E 17th St), New York, NY 10003",
Le Botaniste,Wine Bar,Foursquare,"833 Lexington Ave (6th St), New York, NY 10065",
Sweetgreen,Restaurant,Foursquare,"1164 Broadway (at W 28th St), New York, NY 10001",
The Butcher's Daughter,Café,Foursquare,"19 Kenmare St (at Elizabeth St), New York, NY 10012",
ABC Kitchen,French Restaurant,Foursquare,"35 E 18th St (btwn Broadway & Park Ave S), New York, NY 10003",
Brooklyn Bagel & Coffee Company,Bagel Shop,Foursquare,"286 8th Ave (btwn W 24th & W 25th St), New York, NY 10001",
Taïm Falafel and Smoothie Bar,Mediterranean Restaurant,Foursquare,"222 Waverly Pl (btwn Perry & W 11th St), New York, NY 10014",
Breads Bakery,Bakery,Foursquare,"18 E 16th St (btwn Union Sq W & 5th Ave), New York, NY 10003",
Whole Foods Market,Grocery Store,Foursquare,"4 Union Sq S (btwn Broadway & University Pl), New York, NY 10003",
The Grey Dog,Café,Foursquare,"242 W 16th St (btwn 7th & 8th Ave), New York, NY 10011",
Jack’s Stir Brew Coffee,Coffee Shop,Foursquare,"138 W 10th St (btwn Greenwich Ave & Waverly Pl), New York, NY 10014",
Westerly Natural Market,Organic Grocery,Foursquare,"911 8th Ave (at 54th St), New York, NY 10019",
Le Botaniste,Wine Bar,Foursquare,"127 Grand St (btw Crosby & Broadway), New York, NY 10013",
